Variables,Descripción,Modelo en el Pasado,Modelo Comportamiento,Modelo Nuevos Clientes
ratio_mean_VAR1_trx_groupby_tipo_cat_and_mes,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
ratio_mean_VAR13_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR13 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR3_sum_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR1_sum_groupby_tipo_cli_and_mes,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
diff_mean_VAR2_sum_groupby_tipo_cat_and_mes,Diferencia entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
ratio_mean_VAR5_sum_groupby_tipo_com_and_mes,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_mean_VAR4_trx_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_std_VAR12_sum_groupby_categoria_and_mes,Ratio entre std_VAR12 y el valor de la desviacion de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_std_VAR4_trx_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre std_VAR4 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_max_VAR1_trx_groupby_tipo_cli_and_mes,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
ratio_std_VAR3_sum_groupby_tipo_cli_and_mes,Ratio entre std_VAR3 y el valor de la desviacion de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
ratio_mean_VAR25_trx_groupby_tipo_cat_and_mes,Ratio entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
diff_mean_VAR12_sum_groupby_tipo_seg_and_mes,Diferencia entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
diff_mean_VAR4_sum_groupby_tipo_com_and_mes,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_std_VAR23_trx_groupby_tipo_com_and_mes,Ratio entre std_VAR23 y el valor de la desviacion de dicha variable agrupada por tipo_com y mes ,✓, ,✓
diff_mean_VAR5_trx_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_mean_VAR23_sum_groupby_tipo_cli_and_mes,Ratio entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
diff_mean_VAR23_sum_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_std_VAR7_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre std_VAR7 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR23_trx_groupby_tipo_com_and_mes,Ratio entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_mean_VAR23_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR1_sum_groupby_tipo_cat_and_mes,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
diff_mean_VAR5_trx_groupby_categoria_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_max_VAR1_trx_groupby_tipo_ban_and_mes,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
diff_mean_VAR5_trx_groupby_tipo_cli_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
ratio_std_VAR17_sum_groupby_tipo_seg_and_mes,Ratio entre std_VAR17 y el valor de la desviacion de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
ratio_mean_VAR12_sum_groupby_tipo_ban_and_mes,Ratio entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_std_VAR4_trx_groupby_tipo_seg_and_mes,Ratio entre std_VAR4 y el valor de la desviacion de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
ratio_mean_VAR3_sum_groupby_tipo_seg_tipo_cli_and_mes,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
ratio_std_VAR2_sum_groupby_tipo_ban_tipo_cli_and_mes,Ratio entre std_VAR2 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
diff_mean_VAR23_prom_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR2_prom_groupby_tipo_cat_and_mes,Diferencia entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
ratio_max_VAR4_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre max_VAR4 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_max_VAR5_sum_groupby_tipo_ban_and_mes,Ratio entre max_VAR5 y el valor máximo de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_max_VAR5_sum_groupby_tipo_seg_and_mes,Ratio entre max_VAR5 y el valor máximo de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
ratio_mean_VAR4_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR5_sum_groupby_categoria_and_mes,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_mean_VAR23_sum_groupby_tipo_ban_and_mes,Ratio entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
diff_mean_VAR12_sum_groupby_tipo_cat_and_mes,Diferencia entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
std_VAR17_sum_groupby_tipo_ban_tipo_seg_and_mes,Desviacion Estandar de VAR17_sum agrupada por tipo_ban_tipo_seg y mes,✓, ,✓
ratio_mean_VAR3_sum_groupby_tipo_cli_and_mes,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
diff_mean_VAR4_sum_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
diff_mean_VAR4_trx_groupby_tipo_cat_and_mes,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
std_VAR3_sum_groupby_tipo_ban_and_mes,Desviacion Estandar de VAR3_sum agrupada por tipo_ban y mes,✓, ,✓
diff_mean_VAR23_sum_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
mean_VAR1_sum_groupby_tipo_ban_and_mes,Media de VAR1_sum agrupada por tipo_ban y mes,✓, ,✓
diff_mean_VAR23_trx_groupby_tipo_cat_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
diff_mean_VAR3_sum_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
diff_mean_VAR5_sum_groupby_tipo_com_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_std_VAR4_sum_groupby_categoria_and_mes,Ratio entre std_VAR4 y el valor de la desviacion de dicha variable agrupada por categoria y mes ,✓, ,✓
diff_mean_VAR11_sum_groupby_categoria_and_mes,Diferencia entre mean_VAR11 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_mean_VAR25_sum_groupby_tipo_seg_tipo_cli_and_mes,Ratio entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
ratio_mean_VAR1_prom_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR12_sum_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
diff_mean_VAR23_sum_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
diff_mean_VAR16_sum_groupby_tipo_seg_and_mes,Diferencia entre mean_VAR16 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
diff_mean_VAR1_sum_groupby_tipo_seg_and_mes,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
ratio_mean_VAR12_sum_groupby_categoria_and_mes,Ratio entre mean_VAR12 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_max_VAR1_sum_groupby_tipo_seg_and_mes,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
diff_mean_VAR25_trx_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_std_VAR1_sum_groupby_tipo_cli_and_mes,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
diff_mean_VAR5_sum_groupby_categoria_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
diff_mean_VAR2_trx_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_mean_VAR4_sum_groupby_categoria_and_mes,Ratio entre mean_VAR4 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_mean_VAR13_sum_groupby_tipo_com_and_mes,Ratio entre mean_VAR13 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_max_VAR16_sum_groupby_tipo_seg_and_mes,Ratio entre max_VAR16 y el valor máximo de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
mean_VAR1_trx_groupby_tipo_ban_and_mes,Media de VAR1_trx agrupada por tipo_ban y mes,✓, ,✓
ratio_std_VAR23_trx_groupby_tipo_cat_and_mes,Ratio entre std_VAR23 y el valor de la desviacion de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
ratio_mean_VAR4_trx_groupby_categoria_and_mes,Ratio entre mean_VAR4 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_max_VAR3_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre max_VAR3 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR3_trx_groupby_tipo_com_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_max_VAR1_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR12_sum_groupby_tipo_com_and_mes,Ratio entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_mean_VAR17_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR17 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR25_trx_groupby_tipo_ban_tipo_cli_and_mes,Ratio entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
mean_VAR28_trx_groupby_tipo_cat_and_mes,Media de VAR28_trx agrupada por tipo_cat y mes,✓, ,✓
ratio_mean_VAR17_sum_groupby_tipo_seg_and_mes,Ratio entre mean_VAR17 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
diff_mean_VAR13_sum_groupby_categoria_and_mes,Diferencia entre mean_VAR13 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
mean_VAR3_prom_groupby_tipo_ban_tipo_seg_and_mes,Media de VAR3_prom agrupada por tipo_ban_tipo_seg y mes,✓, ,✓
diff_mean_VAR24_sum_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR13_sum_groupby_categoria_and_mes,Ratio entre mean_VAR13 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_std_VAR16_sum_groupby_tipo_seg_and_mes,Ratio entre std_VAR16 y el valor de la desviacion de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
diff_mean_VAR23_sum_groupby_tipo_ban_tipo_cli_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
diff_mean_VAR28_trx_groupby_tipo_cat_and_mes,Diferencia entre mean_VAR28 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
diff_mean_VAR3_sum_groupby_tipo_ban_tipo_cli_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
ratio_mean_VAR5_sum_groupby_tipo_ban_and_mes,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
mean_VAR1_trx_groupby_tipo_ban_tipo_seg_and_mes,Media de VAR1_trx agrupada por tipo_ban_tipo_seg y mes,✓, ,✓
ratio_mean_VAR25_prom_groupby_tipo_seg_tipo_cli_and_mes,Ratio entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
diff_mean_VAR4_prom_groupby_tipo_cli_and_mes,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
ratio_mean_VAR24_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_std_VAR16_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre std_VAR16 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR16_sum_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR16 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR3_trx_groupby_tipo_ban_tipo_cli_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
mean_VAR4_trx_groupby_tipo_cat_and_mes,Media de VAR4_trx agrupada por tipo_cat y mes,✓, ,✓
diff_mean_VAR5_trx_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_max_VAR1_sum_groupby_tipo_cli_and_mes,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
diff_mean_VAR13_sum_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR13 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR24_sum_groupby_tipo_ban_tipo_cli_and_mes,Diferencia entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
ratio_max_VAR1_trx_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR12_sum_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
diff_mean_VAR5_trx_groupby_tipo_ban_tipo_cli_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
ratio_mean_VAR2_sum_groupby_tipo_ban_and_mes,Ratio entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
diff_mean_VAR5_sum_groupby_tipo_seg_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
std_VAR1_trx_groupby_tipo_ban_tipo_seg_and_mes,Desviacion Estandar de VAR1_trx agrupada por tipo_ban_tipo_seg y mes,✓, ,✓
ratio_std_VAR3_trx_groupby_tipo_seg_and_mes,Ratio entre std_VAR3 y el valor de la desviacion de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
diff_mean_VAR2_sum_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
ratio_mean_VAR3_sum_groupby_categoria_and_mes,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
mean_VAR24_sum_groupby_tipo_ban_tipo_seg_and_mes,Media de VAR24_sum agrupada por tipo_ban_tipo_seg y mes,✓, ,✓
ratio_mean_VAR1_prom_groupby_tipo_cat_and_mes,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
ratio_max_VAR16_sum_groupby_tipo_ban_tipo_cli_and_mes,Ratio entre max_VAR16 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
diff_mean_VAR1_sum_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR17_sum_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR17 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_mean_VAR3_trx_groupby_tipo_seg_tipo_cli_and_mes,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
ratio_mean_VAR3_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR4_prom_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
max_VAR28_trx_groupby_tipo_cat_and_mes,Maximo valor de VAR28_trx agrupada por tipo_cat y mes,✓, ,✓
std_VAR3_trx_groupby_tipo_cat_and_mes,Desviacion Estandar de VAR3_trx agrupada por tipo_cat y mes,✓, ,✓
std_VAR2_trx_groupby_tipo_cli_and_mes,Desviacion Estandar de VAR2_trx agrupada por tipo_cli y mes,✓, ,✓
diff_mean_VAR3_sum_groupby_categoria_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_max_VAR13_sum_groupby_tipo_cat_and_mes,Ratio entre max_VAR13 y el valor máximo de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
diff_mean_VAR3_trx_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
diff_mean_VAR25_prom_groupby_tipo_ban_tipo_cli_and_mes,Diferencia entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
std_VAR2_trx_groupby_tipo_ban_tipo_seg_and_mes,Desviacion Estandar de VAR2_trx agrupada por tipo_ban_tipo_seg y mes,✓, ,✓
ratio_mean_VAR25_trx_groupby_tipo_seg_tipo_cli_and_mes,Ratio entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
diff_mean_VAR13_sum_groupby_tipo_com_and_mes,Diferencia entre mean_VAR13 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
mean_VAR8_trx_groupby_tipo_cat_and_mes,Media de VAR8_trx agrupada por tipo_cat y mes,✓, ,✓
diff_mean_VAR1_sum_groupby_tipo_ban_tipo_cli_and_mes,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
ratio_max_VAR25_trx_groupby_tipo_cli_and_mes,Ratio entre max_VAR25 y el valor máximo de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
ratio_std_VAR24_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre std_VAR24 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR25_prom_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
diff_mean_VAR1_trx_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
diff_mean_VAR25_prom_groupby_tipo_cli_and_mes,Diferencia entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
ratio_max_VAR1_trx_groupby_tipo_ban_tipo_cli_and_mes,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
max_VAR25_sum_groupby_categoria_and_mes,Maximo valor de VAR25_sum agrupada por categoria y mes,✓, ,✓
diff_mean_VAR3_sum_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
ratio_mean_VAR3_trx_groupby_tipo_seg_and_mes,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
mean_VAR1_trx_groupby_tipo_cli_and_mes,Media de VAR1_trx agrupada por tipo_cli y mes,✓, ,✓
ratio_max_VAR3_trx_groupby_tipo_com_and_mes,Ratio entre max_VAR3 y el valor máximo de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_mean_VAR3_sum_groupby_tipo_ban_and_mes,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
diff_mean_VAR23_sum_groupby_tipo_cli_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
diff_mean_VAR5_sum_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_mean_VAR25_trx_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR1_sum_groupby_tipo_cat_and_mes,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
ratio_mean_VAR3_sum_groupby_tipo_seg_and_mes,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
ratio_mean_VAR1_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR1_sum_groupby_tipo_cli_and_mes,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
ratio_std_VAR1_trx_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR23_sum_groupby_categoria_and_mes,Ratio entre mean_VAR23 y el valor medio de dicha variable agrupada por categoria y mes ,✓, ,✓
ratio_mean_VAR2_sum_groupby_tipo_com_and_mes,Ratio entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_std_VAR16_sum_groupby_tipo_seg_tipo_cli_and_mes,Ratio entre std_VAR16 y el valor de la desviacion de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
diff_mean_VAR1_trx_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
 , ,✓, ,✓
ratio_std_VAR16_sum_groupby_tipo_com_and_mes,Ratio entre std_VAR16 y el valor de la desviacion de dicha variable agrupada por tipo_com y mes ,✓, ,✓
diff_mean_VAR1_trx_groupby_tipo_ban_tipo_cli_and_mes,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
ratio_mean_VAR1_trx_groupby_tipo_ban_tipo_cli_and_mes,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
diff_mean_VAR4_trx_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
diff_mean_VAR23_trx_groupby_tipo_ban_tipo_cli_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
ratio_std_VAR1_trx_groupby_tipo_ban_tipo_cli_and_mes,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
ratio_std_VAR23_prom_groupby_tipo_ban_and_mes,Ratio entre std_VAR23 y el valor de la desviacion de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_mean_VAR12_sum_groupby_tipo_seg_tipo_cli_and_mes,Ratio entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
diff_mean_VAR1_sum_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_mean_VAR12_sum_groupby_tipo_ban_tipo_cli_and_mes,Ratio entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli y mes ,✓, ,✓
diff_mean_VAR2_trx_groupby_tipo_cli_and_mes,Diferencia entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
diff_mean_VAR2_trx_groupby_tipo_cat_and_mes,Diferencia entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_cat y mes ,✓, ,✓
diff_mean_VAR4_trx_groupby_tipo_ban_tipo_seg_and_mes,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR3_prom_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
